2024-10-17 01:17:40 status installed linux-libc-dev:amd64 6.1.112-1
2024-10-17 01:17:40 configure libctf-nobfd0:amd64 2.40-2 <none>
2024-10-17 01:17:40 status unpacked libctf-nobfd0:amd64 2.40-2
2024-10-17 01:17:40 status half-configured libctf-nobfd0:amd64 2.40-2
2024-10-17 01:17:40 status installed libctf-nobfd0:amd64 2.40-2
2024-10-17 01:17:40 configure m4:amd64 1.4.19-3 <none>
2024-10-17 01:17:40 status unpacked m4:amd64 1.4.19-3
2024-10-17 01:17:40 status half-configured m4:amd64 1.4.19-3
2024-10-17 01:17:40 status installed m4:amd64 1.4.19-3
2024-10-17 01:17:40 configure file:amd64 1:5.44-3 <none>
2024-10-17 01:17:40 status unpacked file:amd64 1:5.44-3
2024-10-17 01:17:40 status half-configured file:amd64 1:5.44-3
2024-10-17 01:17:40 status installed file:amd64 1:5.44-3
2024-10-17 01:17:40 configure libgomp1:amd64 12.2.0-14 <none>
2024-10-17 01:17:40 status unpacked libgomp1:amd64 12.2.0-14
2024-10-17 01:17:40 status half-configured libgomp1:amd64 12.2.0-14
2024-10-17 01:17:40 status installed libgomp1:amd64 12.2.0-14
2024-10-17 01:17:40 configure bzip2:amd64 1.0.8-5+b1 <none>
2024-10-17 01:17:40 status unpacked bzip2:amd64 1.0.8-5+b1
2024-10-17 01:17:40 status half-configured bzip2:amd64 1.0.8-5+b1
2024-10-17 01:17:40 status installed bzip2:amd64 1.0.8-5+b1
2024-10-17 01:17:40 configure libjansson4:amd64 2.14-2 <none>
2024-10-17 01:17:40 status unpacked libjansson4:amd64 2.14-2
2024-10-17 01:17:40 status half-configured libjansson4:amd64 2.14-2
2024-10-17 01:17:40 status installed libjansson4:amd64 2.14-2
2024-10-17 01:17:40 configure libkrb5support0:amd64 1.20.1-2+deb12u2 <none>
2024-10-17 01:17:40 status unpacked libkrb5support0:amd64 1.20.1-2+deb12u2
2024-10-17 01:17:40 status half-configured libkrb5support0:amd64 1.20.1-2+deb12u2
2024-10-17 01:17:40 status installed libkrb5support0:amd64 1.20.1-2+deb12u2
2024-10-17 01:17:40 configure libsasl2-modules-db:amd64 2.1.28+dfsg-10 <none>
2024-10-17 01:17:40 status unpacked libsasl2-modules-db:amd64 2.1.28+dfsg-10
2024-10-17 01:17:40 status half-configured libsasl2-modules-db:amd64 2.1.28+dfsg-10
2024-10-17 01:17:40 status installed libsasl2-modules-db:amd64 2.1.28+dfsg-10
2024-10-17 01:17:40 configure perl-modules-5.36:all 5.36.0-7+deb12u1 <none>
2024-10-17 01:17:40 status unpacked perl-modules-5.36:all 5.36.0-7+deb12u1
2024-10-17 01:17:40 status half-configured perl-modules-5.36:all 5.36.0-7+deb12u1
2024-10-17 01:17:40 status installed perl-modules-5.36:all 5.36.0-7+deb12u1
2024-10-17 01:17:40 configure libpkgconf3:amd64 1.8.1-1 <none>
2024-10-17 01:17:40 status unpacked libpkgconf3:amd64 1.8.1-1
2024-10-17 01:17:40 status half-configured libpkgconf3:amd64 1.8.1-1
2024-10-17 01:17:40 status installed libpkgconf3:amd64 1.8.1-1
2024-10-17 01:17:40 configure rpcsvc-proto:amd64 1.4.3-1 <none>
2024-10-17 01:17:40 status unpacked rpcsvc-proto:amd64 1.4.3-1
2024-10-17 01:17:40 status half-configured rpcsvc-proto:amd64 1.4.3-1
2024-10-17 01:17:40 status installed rpcsvc-proto:amd64 1.4.3-1
2024-10-17 01:17:40 configure make:amd64 4.3-4.1 <none>
2024-10-17 01:17:40 status unpacked make:amd64 4.3-4.1
2024-10-17 01:17:40 status half-configured make:amd64 4.3-4.1
2024-10-17 01:17:40 status installed make:amd64 4.3-4.1
2024-10-17 01:17:40 configure libmpfr6:amd64 4.2.0-1 <none>
2024-10-17 01:17:40 status unpacked libmpfr6:amd64 4.2.0-1
2024-10-17 01:17:40 status half-configured libmpfr6:amd64 4.2.0-1
2024-10-17 01:17:40 status installed libmpfr6:amd64 4.2.0-1
2024-10-17 01:17:40 configure librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2 <none>
2024-10-17 01:17:40 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2024-10-17 01:17:40 status half-configured librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2024-10-17 01:17:40 status installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2024-10-17 01:17:40 configure xz-utils:amd64 5.4.1-0.2 <none>
2024-10-17 01:17:40 status unpacked xz-utils:amd64 5.4.1-0.2
2024-10-17 01:17:40 status half-configured xz-utils:amd64 5.4.1-0.2
2024-10-17 01:17:40 status installed xz-utils:amd64 5.4.1-0.2
2024-10-17 01:17:40 configure libquadmath0:amd64 12.2.0-14 <none>
2024-10-17 01:17:40 status unpacked libquadmath0:amd64 12.2.0-14
2024-10-17 01:17:40 status half-configured libquadmath0:amd64 12.2.0-14
2024-10-17 01:17:40 status installed libquadmath0:amd64 12.2.0-14
2024-10-17 01:17:40 configure libmpc3:amd64 1.3.1-1 <none>
2024-10-17 01:17:40 status unpacked libmpc3:amd64 1.3.1-1
2024-10-17 01:17:40 status half-configured libmpc3:amd64 1.3.1-1
2024-10-17 01:17:40 status installed libmpc3:amd64 1.3.1-1
2024-10-17 01:17:40 configure libatomic1:amd64 12.2.0-14 <none>
2024-10-17 01:17:40 status unpacked libatomic1:amd64 12.2.0-14
2024-10-17 01:17:40 status half-configured libatomic1:amd64 12.2.0-14
2024-10-17 01:17:40 status installed libatomic1:amd64 12.2.0-14
2024-10-17 01:17:40 configure patch:amd64 2.7.6-7 <none>
2024-10-17 01:17:40 status unpacked patch:amd64 2.7.6-7
2024-10-17 01:17:40 status half-configured patch:amd64 2.7.6-7
2024-10-17 01:17:40 status installed patch:amd64 2.7.6-7
2024-10-17 01:17:40 configure pkgconf-bin:amd64 1.8.1-1 <none>
2024-10-17 01:17:40 status unpacked pkgconf-bin:amd64 1.8.1-1
2024-10-17 01:17:40 status half-configured pkgconf-bin:amd64 1.8.1-1
2024-10-17 01:17:40 status installed pkgconf-bin:amd64 1.8.1-1
2024-10-17 01:17:40 configure libk5crypto3:amd64 1.20.1-2+deb12u2 <none>
2024-10-17 01:17:40 status unpacked libk5crypto3:amd64 1.20.1-2+deb12u2
2024-10-17 01:17:40 status half-configured libk5crypto3:amd64 1.20.1-2+deb12u2
2024-10-17 01:17:40 status installed libk5crypto3:amd64 1.20.1-2+deb12u2
2024-10-17 01:17:40 configure libsasl2-2:amd64 2.1.28+dfsg-10 <none>
2024-10-17 01:17:40 status unpacked libsasl2-2:amd64 2.1.28+dfsg-10
2024-10-17 01:17:40 status half-configured libsasl2-2:amd64 2.1.28+dfsg-10
2024-10-17 01:17:40 status installed libsasl2-2:amd64 2.1.28+dfsg-10
2024-10-17 01:17:40 configure libubsan1:amd64 12.2.0-14 <none>
2024-10-17 01:17:40 status unpacked libubsan1:amd64 12.2.0-14
2024-10-17 01:17:40 status half-configured libubsan1:amd64 12.2.0-14
2024-10-17 01:17:40 status installed libubsan1:amd64 12.2.0-14
2024-10-17 01:17:40 configure libcrypt-dev:amd64 1:4.4.33-2 <none>
2024-10-17 01:17:40 status unpacked libcrypt-dev:amd64 1:4.4.33-2
